,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Children,group
0,665,1,3.0,"Lindqvist, Mr. Eino William",1,20.0,1,0,STON/O 2. 3101285,13.309546220302375,,PORT S,Mr,False,"(16.336, 32.252]"
1,646,1,1.0,"Harper, Mr. Henry Sleeper",1,48.0,1,0,PC 17572,76.7292,D33,PORT C,Mr,False,"(32.252, 48.168]"
2,181,0,3.0,"Sage, Miss. Constance Gladys",0,22.0,8,2,CA. 2343,69.55,,PORT S,Miss,False,"(16.336, 32.252]"
3,292,1,1.0,"Bishop, Mrs. Dickinson H (Helen Walton)",0,19.0,1,0,11967,91.0792,B49,PORT C,Mrs,False,"(16.336, 32.252]"
4,823,0,1.0,"Reuchlin, Jonkheer. John George",1,38.0,0,0,19972,88.94929842105263,,PORT S,Mr,False,"(32.252, 48.168]"
5,400,1,2.0,"Trout, Mrs. William H (Jessie L)",0,28.0,0,0,240929,12.65,,,Mrs,False,"(16.336, 32.252]"
6,541,1,1.0,"Crosby, Miss. Harriet R",0,36.0,0,2,WE/P 5735,71.0,B22,,Miss,False,"(32.252, 48.168]"
7,341,1,2.0,"Navratil, Master. Edmond Roger",1,2.0,1,1,230080,26.0,F2,,Master,True,"(0.34, 16.336]"
8,581,1,2.0,"Christy, Miss. Julie Rachel",0,25.0,1,1,237789,30.0,,PORT S,Miss,False,"(16.336, 32.252]"
9,843,1,1.0,"Serepeca, Miss. Augusta",0,30.0,0,0,113798,31.0,,PORT C,Miss,False,"(16.336, 32.252]"
10,598,0,3.0,"Johnson, Mr. Alfred",1,49.0,0,0,LINE,13.309546220302375,,PORT S,Mr,False,"(48.168, 64.084]"
11,846,0,3.0,"Abbing, Mr. Anthony",1,42.0,0,0,C.A. 5547,7.55,,PORT S,Mr,False,"(32.252, 48.168]"
12,225,1,1.0,"Hoyt, Mr. Frederick Maxfield",1,38.0,1,0,19943,90.0,C93,,Mr,False,"(32.252, 48.168]"
13,728,1,3.0,"Mannion, Miss. Margareth",0,22.0,0,0,36866,7.7375,,,Miss,False,"(16.336, 32.252]"
14,414,0,2.0,"Cunningham, Mr. Alfred Fleming",1,30.0,0,0,239853,23.173708021390375,,,Mr,False,"(16.336, 32.252]"
15,42,0,2.0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,27.0,1,0,11668,21.0,,PORT S,Mrs,False,"(16.336, 32.252]"
16,389,0,3.0,"Sadlier, Mr. Matthew",1,30.0,0,0,367655,7.7292,,,Mr,False,"(16.336, 32.252]"
17,739,0,3.0,"Ivanoff, Mr. Kanio",1,30.0,0,0,349201,7.8958,,PORT S,Mr,False,"(16.336, 32.252]"
18,549,0,3.0,"Goldsmith, Mr. Frank John",1,33.0,1,1,363291,20.525,,,Mr,False,"(32.252, 48.168]"
19,681,0,3.0,"Peters, Miss. Katie",0,22.0,0,0,330935,8.1375,,PORT Q,Miss,False,"(16.336, 32.252]"
20,764,1,1.0,"Carter, Mrs. William Ernest (Lucile Polk)",0,36.0,1,2,113760,120.0,B96 B98,PORT S,Mrs,False,"(32.252, 48.168]"
21,316,1,3.0,"Nilsson, Miss. Helmina Josefina",0,26.0,0,0,347470,7.8542,,,Miss,False,"(16.336, 32.252]"
22,438,1,2.0,"Richards, Mrs. Sidney (Emily Hocking)",0,24.0,2,3,29106,18.75,,,Mrs,False,"(16.336, 32.252]"
23,801,0,2.0,"Ponesell, Mr. Martin",1,34.0,0,0,250647,13.0,,PORT S,Mr,False,"(32.252, 48.168]"
24,497,1,1.0,"Eustis, Miss. Elizabeth Mussey",0,54.0,1,0,36947,78.2667,D20,,Miss,False,"(48.168, 64.084]"
25,350,0,3.0,"Dimic, Mr. Jovan",1,42.0,0,0,315088,8.6625,,PORT S,Mr,False,"(32.252, 48.168]"
26,833,0,3.0,"Saad, Mr. Amin",1,30.0,0,0,2671,7.2292,,,Mr,False,"(16.336, 32.252]"
27,509,0,3.0,"Olsen, Mr. Henry Margido",1,28.0,0,0,C 4001,22.525,,PORT S,Mr,False,"(16.336, 32.252]"
28,74,0,3.0,"Chronopoulos, Mr. Apostolos",1,26.0,1,0,2680,14.4542,,PORT C,Mr,False,"(16.336, 32.252]"
29,293,0,2.0,"Levy, Mr. Rene Jacques",1,36.0,0,0,SC/Paris 2163,12.875,D,PORT C,Mr,False,"(32.252, 48.168]"
30,718,1,2.0,"Troutt, Miss. Edwina Celia ""Winnie""",0,27.0,0,0,34218,10.5,E101,PORT S,Miss,False,"(16.336, 32.252]"
31,573,1,1.0,"Flynn, Mr. John Irwin (""Irving"")",1,36.0,0,0,PC 17474,26.3875,E25,,Mr,False,"(32.252, 48.168]"
32,164,0,3.0,"Calic, Mr. Jovo",1,17.0,0,0,315093,8.6625,,,Mr,True,"(16.336, 32.252]"
33,687,0,3.0,"Panula, Mr. Jaako Arnold",1,14.0,4,1,3101295,39.6875,,PORT S,Mr,True,"(0.34, 16.336]"
34,413,1,1.0,"Minahan, Miss. Daisy E",0,33.0,1,0,19928,90.0,C78,PORT Q,Miss,False,"(32.252, 48.168]"
35,434,0,3.0,"Kallio, Mr. Nikolai Erland",1,17.0,0,0,STON/O 2. 3101274,7.125,,PORT S,Mr,True,"(16.336, 32.252]"
36,249,1,1.0,"Beckwith, Mr. Richard Leonard",1,37.0,1,1,11751,52.5542,D35,PORT S,Mr,False,"(32.252, 48.168]"
37,741,1,1.0,"Hawksford, Mr. Walter James",1,30.0,0,0,16988,30.0,D45,,Mr,False,"(16.336, 32.252]"
38,279,0,3.0,"Rice, Master. Eric",1,7.0,4,1,382652,29.125,,PORT Q,Master,True,"(0.34, 16.336]"
39,565,0,3.0,"Meanwell, Miss. (Marion Ogden)",0,22.0,0,0,SOTON/O.Q. 392087,13.309546220302375,,PORT S,Miss,False,"(16.336, 32.252]"
40,55,0,1.0,"Ostby, Mr. Engelhart Cornelius",1,65.0,0,1,113509,61.9792,B30,PORT C,Mr,False,"(64.084, 80.0]"
41,563,0,2.0,"Norman, Mr. Robert Douglas",1,28.0,0,0,218629,13.5,,PORT S,Mr,False,"(16.336, 32.252]"
42,664,0,3.0,"Coleff, Mr. Peju",1,36.0,0,0,349210,7.4958,,PORT S,Mr,False,"(32.252, 48.168]"
43,180,0,3.0,"Leonard, Mr. Lionel",1,36.0,0,0,LINE,13.309546220302375,,,Mr,False,"(32.252, 48.168]"
44,269,1,1.0,"Graham, Mrs. William Thompson (Edith Junkins)",0,58.0,0,1,PC 17582,153.4625,C125,,Mrs,False,"(48.168, 64.084]"
45,709,1,1.0,"Cleaver, Miss. Alice",0,22.0,0,0,113781,151.55,,,Miss,False,"(16.336, 32.252]"
46,90,0,3.0,"Celotti, Mr. Francesco",1,24.0,0,0,343275,13.309546220302375,,PORT S,Mr,False,"(16.336, 32.252]"
47,837,0,3.0,"Pasic, Mr. Jakob",1,21.0,0,0,315097,8.6625,,PORT S,Mr,False,"(16.336, 32.252]"
48,682,1,1.0,"Hassab, Mr. Hammad",1,27.0,0,0,PC 17572,76.7292,D49,,Mr,False,"(16.336, 32.252]"
49,203,0,3.0,"Johanson, Mr. Jakob Alfred",1,34.0,0,0,3101264,6.4958,,,Mr,False,"(32.252, 48.168]"
50,478,0,3.0,"Braund, Mr. Lewis Richard",1,29.0,1,0,3460,7.0458,,,Mr,False,"(16.336, 32.252]"
51,359,1,3.0,"McGovern, Miss. Mary",0,22.0,0,0,330931,7.8792,,,Miss,False,"(16.336, 32.252]"
